name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
kdePackages.maplibre-native-qt,,324514464,,
kdePackages.waylib,324514923,324514927,,
kdePackages.wayqt,,324514913,,
keeperrl,324515002,,,
kermit,324515033,324515032,,
keyleds,324515101,,,
kord,324515924,324515921,,
kubectl-kcl,,324516271,,
l8w8jwt,324516638,,,
landrun,,324516754,,
leanblueprint,324517161,324517155,,
leatherman,324517159,,,
lektor,324517605,,,
libagar,324517515,,,
libdynd,324518182,,,
libigloo,,,324518756,
libopcodes_2_38,324519513,,,
libopensmtpd,,,324519520,324519517
libplist,,,,324519676
libpulsar,,,,324519768
libsForQt5.libcommuni,,,324520472,
libsForQt5.maplibre-native-qt,324520504,,,
libsForQt5.phonon,,,324520514,324520510
libsignon-glib,324521083,324521081,,
libsquish,,324521192,,
libtapi,,324521259,,
libuiohook,,324521450,,
libva1,324521548,,,
lilypond,,,324522400,324522200
linuxKernel.kernels.linux_rt_5_10,324522449,,,
linuxKernel.kernels.linux_rt_5_15,324522451,,,
linuxKernel.packages.linux_5_10.akvcam,324522470,,,
linuxKernel.packages.linux_5_10.nvidia_x11_beta_open,,324522557,,
linuxKernel.packages.linux_5_10.nvidia_x11_stable_open,,324522561,,
linuxKernel.packages.linux_5_10.odp-dpdk,324522570,,,
linuxKernel.packages.linux_5_10.tbs,,324522630,,
linuxKernel.packages.linux_5_10.tsme-test,,324522636,,
linuxKernel.packages.linux_5_10.virtualboxGuestAdditions,,324522661,,
linuxKernel.packages.linux_5_15.akvcam,324522689,,,
linuxKernel.packages.linux_5_15.mbp2018-bridge-drv,324522766,,,
linuxKernel.packages.linux_5_15.nvidia_x11_beta_open,,324522781,,
linuxKernel.packages.linux_5_15.nvidia_x11_production_open,,324522785,,
linuxKernel.packages.linux_5_15.nvidia_x11_stable_open,,324522787,,
linuxKernel.packages.linux_5_15.odp-dpdk,324522793,,,
linuxKernel.packages.linux_5_15.tsme-test,,324522862,,
linuxKernel.packages.linux_5_15.universal-pidff,,324522867,,
linuxKernel.packages.linux_6_1.mba6x_bl,,324522994,,
linuxKernel.packages.linux_6_1.morse-driver,324523002,324523001,,
