id,name,system
308959827,blitz,x86_64-darwin
308959828,blitz,x86_64-linux
308959855,blockattack,aarch64-linux
308959856,blockattack,x86_64-linux
310015735,blockstream-electrs,x86_64-linux
309259255,bluesky-pds,aarch64-darwin
309259257,bluesky-pds,x86_64-darwin
308959979,blur-effect,aarch64-linux
308959980,blur-effect,x86_64-linux
308960033,bodyclose,aarch64-darwin
308960038,bodyclose,aarch64-linux
308960035,bodyclose,x86_64-darwin
308960040,bodyclose,x86_64-linux
308960114,bonzomatic,x86_64-linux
308960135,boolector,aarch64-darwin
308960136,boolector,aarch64-linux
308960138,boolector,x86_64-darwin
308960144,boolector,x86_64-linux
308960218,bootil,aarch64-darwin
308960219,bootil,x86_64-darwin
308960328,bowtie2,aarch64-darwin
308960326,bowtie2,aarch64-linux
308960327,bowtie2,x86_64-darwin
308960329,bowtie2,x86_64-linux
308960386,bpftrace,aarch64-linux
308960385,bpftrace,x86_64-linux
308960443,break-time,aarch64-linux
308960444,break-time,x86_64-linux
308960494,brlcad,x86_64-linux
308960651,btanks,aarch64-darwin
308960658,btanks,x86_64-darwin
308960794,buildah-unwrapped,aarch64-darwin
308960796,buildah-unwrapped,x86_64-darwin
308960962,bullet-roboschool,aarch64-darwin
308960960,bullet-roboschool,aarch64-linux
308960963,bullet-roboschool,x86_64-linux
308961056,bustools,aarch64-darwin
308961055,bustools,aarch64-linux
308961058,bustools,x86_64-darwin
308961057,bustools,x86_64-linux
309236590,c3c,x86_64-darwin
308961298,caffe,aarch64-darwin
308961299,caffe,aarch64-linux
308961308,caffe,x86_64-darwin
308961302,caffe,x86_64-linux
308961309,cairo-lang,aarch64-darwin
308961310,cairo-lang,aarch64-linux
308961312,cairo-lang,x86_64-darwin
308961313,cairo-lang,x86_64-linux
310039434,calibre,aarch64-linux
308961440,candle,aarch64-darwin
308961443,candle,x86_64-darwin
308961450,caneda,aarch64-linux
308961448,caneda,x86_64-linux
308961453,canokey-usbip,aarch64-darwin
308961454,canokey-usbip,aarch64-linux
308961455,canokey-usbip,x86_64-darwin
308961456,canokey-usbip,x86_64-linux
308961511,capstone_4,aarch64-darwin
308961512,capstone_4,aarch64-linux
308961513,capstone_4,x86_64-darwin
308961514,capstone_4,x86_64-linux
308961521,capypdf,aarch64-darwin
308961524,capypdf,x86_64-darwin
308961570,cargo-all-features,aarch64-darwin
308961577,cargo-all-features,x86_64-darwin
308961673,cargo-codspeed,aarch64-darwin
308961672,cargo-codspeed,aarch64-linux
308961674,cargo-codspeed,x86_64-darwin
308961704,cargo-deb,aarch64-darwin
308961713,cargo-deb,x86_64-darwin
308961948,cargo-risczero,aarch64-darwin
308961953,cargo-risczero,x86_64-darwin
308961972,cargo-semver-checks,x86_64-darwin
308962045,cargo-ui,aarch64-darwin
308962049,cargo-ui,x86_64-darwin
310039429,cargo-valgrind,aarch64-linux
308962131,carps-cups,aarch64-darwin
308962133,carps-cups,x86_64-darwin
308962152,cassandra-cpp-driver,x86_64-darwin
308962153,cassandra-cpp-driver,x86_64-linux
308962199,cataclysm-dda-git,aarch64-darwin
308962201,cataclysm-dda-git,x86_64-darwin
308962195,cataclysm-dda,aarch64-darwin
308962197,cataclysm-dda,x86_64-darwin
308962207,catalyst,x86_64-darwin
308962217,catboost,aarch64-darwin
308962214,catboost,aarch64-linux
308962215,catboost,x86_64-linux
309528198,cbconvert-gui,aarch64-linux
309528199,cbconvert-gui,x86_64-linux
309528196,cbconvert,aarch64-linux
309528197,cbconvert,x86_64-linux
308962373,cbmc,aarch64-darwin
308962374,cbmc,x86_64-darwin
308962420,cc-tool,aarch64-darwin
308962421,cc-tool,aarch64-linux
308962423,cc-tool,x86_64-darwin
308962422,cc-tool,x86_64-linux
308962449,cccc,aarch64-darwin
308962453,cccc,x86_64-darwin
308962555,cdesktopenv,aarch64-linux
308962556,cdesktopenv,x86_64-linux
308962579,cdktf-cli,aarch64-linux
308962571,cdktf-cli,x86_64-darwin
308962581,cdparanoia,aarch64-darwin
308962582,cdparanoia,x86_64-darwin
308962589,cdparanoiaIII,aarch64-darwin
308962594,cdparanoiaIII,x86_64-darwin
310015755,cegui,aarch64-darwin
310015754,cegui,aarch64-linux
310015756,cegui,x86_64-darwin
310015753,cegui,x86_64-linux
308962653,cen64,x86_64-linux
308962686,cernlib,aarch64-linux
308962687,cernlib,x86_64-darwin
308962688,cernlib,x86_64-linux
308962828,cfv,aarch64-darwin
308962833,cfv,x86_64-darwin
308963079,chelf,aarch64-darwin
308963081,chelf,x86_64-darwin
308963135,chewing-editor,aarch64-darwin
308963118,chewing-editor,aarch64-linux
308963119,chewing-editor,x86_64-darwin
308963122,chewing-editor,x86_64-linux
309236668,chez-matchable,aarch64-darwin
309236667,chez-matchable,x86_64-darwin
309236674,chez-srfi,aarch64-darwin
309236675,chez-srfi,x86_64-darwin
308963208,chiaki,aarch64-darwin
308963158,chiaki,aarch64-linux
308963162,chiaki,x86_64-darwin
308963160,chiaki,x86_64-linux
308963981,chickenPackages_5.chickenEggs.iconv,aarch64-darwin
308963983,chickenPackages_5.chickenEggs.iconv,x86_64-darwin
308965640,chow-kick,aarch64-linux
308965639,chow-kick,x86_64-linux
308965625,chow-tape-model,x86_64-linux
308965632,chrome-pak-customizer,aarch64-darwin
308965634,chrome-pak-customizer,aarch64-linux
308965635,chrome-pak-customizer,x86_64-darwin
308965637,chrome-pak-customizer,x86_64-linux
308965643,chrony,aarch64-darwin
308965651,chrony,x86_64-darwin
308965679,ciao,aarch64-linux
308965682,ciao,x86_64-linux
308965701,ciftilib,aarch64-darwin
308965702,ciftilib,aarch64-linux
308965704,ciftilib,x86_64-darwin
308965705,ciftilib,x86_64-linux
308965806,cjdns,aarch64-darwin
308965807,cjdns,aarch64-linux
308965814,cjdns,x86_64-darwin
308965812,cjdns,x86_64-linux
308965832,ckb-next,aarch64-linux
308965842,ckb-next,x86_64-linux
308965897,clang-uml,aarch64-darwin
308965898,clang-uml,aarch64-linux
308965900,clang-uml,x86_64-darwin
308965899,clang-uml,x86_64-linux
308965980,clblas,aarch64-darwin
308965981,clblas,aarch64-linux
308965983,clblas,x86_64-darwin
308965984,clblas,x86_64-linux
309823399,clboss,aarch64-darwin
309823397,clboss,x86_64-darwin
308966024,clever-tools,aarch64-darwin
308966023,clever-tools,aarch64-linux
308966030,clever-tools,x86_64-darwin
308966038,clfft,aarch64-darwin
308966042,clfft,aarch64-linux
308966036,clfft,x86_64-darwin
308966035,clfft,x86_64-linux
308966079,clickhouse-backup,aarch64-darwin
308966076,clickhouse-backup,x86_64-darwin
309934914,clickhouse-lts,aarch64-darwin
309934913,clickhouse-lts,x86_64-darwin
308966105,clickhouse,aarch64-darwin
308966097,clickhouse,x86_64-darwin
308966102,clight-gui,aarch64-linux
308966104,clight-gui,x86_64-linux
308966106,clightning,aarch64-darwin
308966121,clightning,x86_64-darwin
309823407,cloudcompare,aarch64-linux
309823401,cloudcompare,x86_64-linux
309936613,cmdstan,aarch64-darwin
309936601,cmdstan,x86_64-darwin
308966511,cmtk,aarch64-darwin
308966513,cmtk,aarch64-linux
308966512,cmtk,x86_64-darwin
308966515,cmtk,x86_64-linux
308966560,coan,aarch64-darwin
308966561,coan,x86_64-darwin
309236717,coloquinte,aarch64-linux
309236718,coloquinte,x86_64-linux
309936612,color-transformation-language,aarch64-darwin
309936608,color-transformation-language,x86_64-darwin
308966997,commitmsgfmt,aarch64-darwin
308967000,commitmsgfmt,aarch64-linux
308966999,commitmsgfmt,x86_64-darwin
308967011,commitmsgfmt,x86_64-linux
309819108,conan,aarch64-linux
308967207,connectome-workbench,aarch64-linux
308967208,connectome-workbench,x86_64-linux
308967234,conserve,x86_64-darwin
308967256,construo,aarch64-darwin
308967254,construo,x86_64-darwin
308967259,construoBase,aarch64-darwin
308967260,construoBase,x86_64-darwin
308967346,coolreader,aarch64-linux
308967347,coolreader,x86_64-linux
309934928,copacetic,aarch64-darwin
309934930,copacetic,x86_64-darwin
308967889,coredns,aarch64-darwin
308967897,coredns,x86_64-darwin
308967931,coreth,x86_64-darwin
308967982,corto,aarch64-darwin
308967983,corto,aarch64-linux
308967984,corto,x86_64-darwin
308967985,corto,x86_64-linux
309823422,couchdb3,x86_64-darwin
308968142,cp437,aarch64-darwin
308968147,cp437,x86_64-darwin
308968175,cpp-ipfs-http-client,x86_64-darwin
308968306,cpp-netlib,aarch64-darwin
308968181,cpp-netlib,aarch64-linux
308968186,cpp-netlib,x86_64-darwin
308968182,cpp-netlib,x86_64-linux
308968185,cpp-redis,aarch64-darwin
308968183,cpp-redis,aarch64-linux
308968190,cpp-redis,x86_64-darwin
308968187,cpp-redis,x86_64-linux
308968201,cppcms,aarch64-linux
308968202,cppcms,x86_64-linux
308968207,cppcodec,aarch64-darwin
308968206,cppcodec,aarch64-linux
308968209,cppcodec,x86_64-darwin
308968213,cppcodec,x86_64-linux
308968215,cppdb,aarch64-linux
308968211,cppdb,x86_64-linux
308968216,cppe,aarch64-darwin
308968212,cppe,aarch64-linux
308968217,cppe,x86_64-darwin
308968214,cppe,x86_64-linux
309936627,cpptrace,aarch64-darwin
309936628,cpptrace,x86_64-darwin
308968392,createrepo_c,aarch64-darwin
308968393,createrepo_c,aarch64-linux
308968395,createrepo_c,x86_64-darwin
308968409,createrepo_c,x86_64-linux
308968421,creduce,aarch64-darwin
308968416,creduce,aarch64-linux
308968417,creduce,x86_64-darwin
308968419,creduce,x86_64-linux
308968509,cronie,aarch64-darwin
308968510,cronie,x86_64-darwin
308968691,csdr,aarch64-linux
308968689,csdr,x86_64-linux
308968709,csmith,aarch64-darwin
308968711,csmith,x86_64-darwin
308968818,ctodo,aarch64-darwin
308968819,ctodo,aarch64-linux
308968821,ctodo,x86_64-darwin
308968825,ctodo,x86_64-linux
308968827,ctpp2,aarch64-linux
308968829,ctpp2,x86_64-linux
310077521,cubicsdr,aarch64-linux
310077522,cubicsdr,x86_64-linux
308968951,cups-dymo,aarch64-darwin
308968952,cups-dymo,x86_64-darwin
308969026,curl-impersonate-ff,aarch64-darwin
308968989,curl-impersonate-ff,aarch64-linux
308968990,curl-impersonate-ff,x86_64-darwin
308968988,curl-impersonate-ff,x86_64-linux
308969031,curv,aarch64-linux
308969035,curv,x86_64-linux
308969042,cutecom,aarch64-darwin
308969043,cutecom,aarch64-linux
308969047,cutecom,x86_64-darwin
308969046,cutecom,x86_64-linux
308969509,cwltool,aarch64-darwin
308969336,cwltool,aarch64-linux
308969526,cwltool,x86_64-darwin
308969388,cwltool,x86_64-linux
309259348,cyan,aarch64-linux
309259349,cyan,x86_64-linux
308969189,cygwin.w32api,aarch64-darwin
308969190,cygwin.w32api,aarch64-linux
308969192,cygwin.w32api,x86_64-darwin
308969193,cygwin.w32api,x86_64-linux
308969264,dabtools,aarch64-linux
308969267,dabtools,x86_64-linux
308969380,darktable,aarch64-darwin
308969379,darktable,x86_64-darwin
308969450,darwin.dyld,aarch64-darwin
308969449,darwin.dyld,x86_64-darwin
308969525,dasher,aarch64-darwin
308969545,dasher,x86_64-darwin
308969541,dasm,x86_64-darwin
308969612,davix-copy,aarch64-linux
308969613,davix-copy,x86_64-linux
308969606,davix,aarch64-darwin
308969607,davix,aarch64-linux
308969609,davix,x86_64-darwin
308969610,davix,x86_64-linux
308969639,db-rest,aarch64-darwin
308969644,db-rest,x86_64-darwin
308969769,dcm2niix,aarch64-darwin
308969773,dcm2niix,aarch64-linux
308969772,dcm2niix,x86_64-darwin
308969776,dcm2niix,x86_64-linux
308969883,deadpixi-sam-unstable,aarch64-darwin
308969885,deadpixi-sam-unstable,x86_64-darwin
308970027,decker,aarch64-darwin
308969966,decker,x86_64-darwin
308969992,degate,aarch64-darwin
308969996,degit,aarch64-darwin
308969997,degit,aarch64-linux
308969999,degit,x86_64-darwin
308970000,degit,x86_64-linux
308970073,deluged,aarch64-darwin
308970090,deluged,x86_64-darwin
308970160,deskew,aarch64-darwin
308970261,devpod-desktop,aarch64-darwin
310077537,devpod-desktop,aarch64-linux
308970270,devpod-desktop,x86_64-darwin
310077538,devpod-desktop,x86_64-linux
308970427,dia,aarch64-darwin
308970426,dia,x86_64-darwin
308970446,dico,aarch64-darwin
308970448,dico,x86_64-darwin
308970607,dillo-plus,aarch64-darwin
308970609,dillo-plus,x86_64-darwin
308970690,direvent,aarch64-darwin
308970691,direvent,x86_64-darwin
309936673,direwolf,aarch64-darwin
309936670,direwolf,aarch64-linux
309936674,direwolf,x86_64-darwin
309936671,direwolf,x86_64-linux
310071843,discord-screenaudio,aarch64-linux
310071842,discord-screenaudio,x86_64-linux
310039461,discordchatexporter-cli,aarch64-darwin
308970762,diskscan,aarch64-linux
308970763,diskscan,x86_64-linux
308970910,dkh,aarch64-darwin
308970912,dkh,aarch64-linux
308970909,dkh,x86_64-darwin
308970913,dkh,x86_64-linux
308970931,dleyna,aarch64-darwin
308970939,dleyna,x86_64-darwin
308970993,dmsdos,aarch64-linux
308970995,dmsdos,x86_64-linux
308971005,dnadd,aarch64-darwin
308971007,dnadd,x86_64-darwin
308971068,dnslink-std-go,aarch64-darwin
308971069,dnslink-std-go,x86_64-darwin
309936683,docker-machine-kvm2,aarch64-linux
309528248,documenso,aarch64-darwin
309528251,documenso,aarch64-linux
309528249,documenso,x86_64-darwin
309528254,documenso,x86_64-linux
308971491,doomseeker,aarch64-darwin
308971503,doomseeker,x86_64-darwin
308971531,dosbox,aarch64-darwin
308971532,dosbox,x86_64-darwin
308971598,dotherside,aarch64-linux
308971599,dotherside,x86_64-linux
308972167,drogon,aarch64-darwin
308972169,drogon,x86_64-darwin
309259390,dsview,aarch64-darwin
308972262,dsview,aarch64-linux
309259391,dsview,x86_64-darwin
308972261,dsview,x86_64-linux
308972273,dt,aarch64-darwin
308972271,dt,x86_64-darwin
308972353,duckx,aarch64-darwin
308972354,duckx,aarch64-linux
308972355,duckx,x86_64-darwin
308972357,duckx,x86_64-linux
309259402,dune3d,aarch64-darwin
309259403,dune3d,x86_64-darwin
308972773,ebtks,aarch64-darwin
308972786,ebtks,aarch64-linux
308972775,ebtks,x86_64-darwin
308972777,ebtks,x86_64-linux
308972820,ecl_16_1_2,aarch64-linux
308972819,ecl_16_1_2,x86_64-darwin
308972822,ecl_16_1_2,x86_64-linux
309935039,edgetx,aarch64-linux
309935040,edgetx,x86_64-linux
308972947,edlib,aarch64-darwin
