name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
git-together,,,329280651,329280650
gitbeaker-cli,,329280757,329280765,
gitlab-elasticsearch-indexer,,,330646042,330646047
gl-gsync-demo,331670116,331670115,,
glances,,331683221,,
gnat16Packages.gpr2,330621700,330621765,,
gnome2.gtksourceview,,,329281957,329281946
gnucobol,,,330336391,330336392
gnudatalanguage,,331040625,,
gopher64,,331753964,331753961,
gophernotes,329285561,329285558,329285559,329285560
gophish,,,329285571,
gossip,,,331414238,331414236
goxlr-utility,,,329285862,329285858
gpt4all,329285986,329285985,,
gradm,,329286123,,
grafx2,,,330685364,330685361
gram,,,330727275,330727274
greenbone-feed-sync,,,329707520,329707517
gtk-frdp,,,331666467,331666466
guile-git,,,,330727288
handlr-regex,,,329287746,329287741
hashcash,,,329287851,329287850
haskellPackages.AppleScript,,,329288121,329288119
haskellPackages.GOST34112012-Hash,,329288478,,329288475
haskellPackages.HsHTSLib,,,329288695,329288692
haskellPackages.aoc,,,329291439,329291441
haskellPackages.botan-low,,329292830,329292829,
haskellPackages.bytestring-encoding,,,329293111,329293113
haskellPackages.cl3-posit,,,329293838,
haskellPackages.copilot-c99,,,329294682,329294676
haskellPackages.cpython,,329294807,,
haskellPackages.diagrams-pandoc,,331583700,,
haskellPackages.epub-metadata,,,329296925,329296921
haskellPackages.error-codes,,,329296945,329296944
haskellPackages.eventlog-live-otelcol,329297139,329297162,329297142,329297146
haskellPackages.executable-hash,,,,329297134
haskellPackages.exinst-base,,,329297147,329297132
haskellPackages.freetype2,,329297903,329297899,329297897
haskellPackages.genvalidity-dirforest,,,329298424,329298414
haskellPackages.gi-gdkx113,,,329298868,329298915
haskellPackages.gi-gdkx114,,,329298875,329298881
haskellPackages.gi-gtkosxapplication,,,329298941,329298953
haskellPackages.gi-soup3,,,329299006,329299005
haskellPackages.grisette,,,330688651,
haskellPackages.gtk-mac-integration,,,331583724,331583725
haskellPackages.gtk-traymanager,,,331583747,331583727
haskellPackages.gtk3-mac-integration,,,331583749,331583746
haskellPackages.hamid,,,329300467,329300465
haskellPackages.heftia-effects,,,329301013,329301016
haskellPackages.heph-aligned-storable,,,329301063,329301040
haskellPackages.hevm,,,329301182,
haskellPackages.highlight,,,329301245,329301248
haskellPackages.hlibgit2,,329301359,329301361,
haskellPackages.huckleberry,,,329302578,329302574
haskellPackages.hunspell-hs,,,329302604,329302598
haskellPackages.hw-ip,331627215,331627209,331627212,331627210
haskellPackages.hw-json-simd,,329302637,,329302640
haskellPackages.hw-streams,331627214,331627211,331627207,331627205
haskellPackages.ihp-ide,329303118,329302948,330713600,330713598
haskellPackages.implicit,,,329302982,329302980
haskellPackages.inline-asm,,,329303106,
haskellPackages.kqueue,,,329303959,329303958
haskellPackages.libtorch-ffi,,,,329304524
haskellPackages.llvm-tf,,,329304858,329304832
haskellPackages.memcache,,,329305467,329305466
haskellPackages.memzero,,,329305510,329305508
haskellPackages.minici,,,329305730,329305732
haskellPackages.miso-examples,329305799,329305797,,
haskellPackages.network-can,,,329306783,329306786
haskellPackages.om-time,,,329307425,329307424
haskellPackages.perceptual-hash,,,329308313,329308331
haskellPackages.persistent-pagination,,,,329308353
haskellPackages.ping-wrapper,,,329308513,329308503
haskellPackages.pipes-zlib,,,329308619,329308615
haskellPackages.posix-socket,,,329308959,329308938
haskellPackages.posix-timer,,,329308907,329308905
haskellPackages.posix-waitpid,,,329308913,329308912
haskellPackages.pthread,,,329309600,329309598
haskellPackages.rawfilepath,,,329310093,329310087
haskellPackages.rdtsc-enolan,,329310118,,329310116
haskellPackages.rdtsc,,329310113,,329310112
haskellPackages.sdl2-cairo,,,329311334,329311327
haskellPackages.sdl2-mixer,329311365,329311369,,
haskellPackages.select,,,329311387,329311383
haskellPackages.sha256,,,329311837,329311843
haskellPackages.simdutf,,329312088,,
haskellPackages.socket,,,329312547,329312544
haskellPackages.store,,,329313162,329313158
haskellPackages.system-linux-proc,,,329313740,329313738
haskellPackages.tailfile-hinotify,,,329313850,329313849
haskellPackages.termbox-bindings-c,,,329314205,329314199
haskellPackages.timeout-snooze,,,329314846,
haskellPackages.trexio-hs,,,331524381,331524380
haskellPackages.vulkan-utils,329316477,,329316464,
haskellPackages.wai-middleware-metrics,,,330713890,330713858
haskellPackages.xgboost-haskell,329317197,,,
haskellPackages.xls,,,329317221,329317215
haskellPackages.xmonad-utils,,,329317313,329317317
haskellPackages.zlib-bytes,,,329317826,329317825
haskellPackages.zot,,,329317846,329317843
hatch,,,331681542,
hdate,,,329318067,329318064
herdr,,,331702374,331702368
herwig,331702369,,,
hexagonrpc,,,329318388,329318387
hgrep,,329318474,,
hime,330671994,330671993,,
home-assistant-custom-components.thewatchman,331715132,,,
home-assistant-custom-components.yoto_ha,331090928,331090921,,
honeytail,,,329319165,
hsd,,,329319324,329319317
hyprlandPlugins.hypr-darkwindow,331741419,331741421,,
hyprlandPlugins.hyprsplit,331741414,331741413,,
hyprlandPlugins.imgborders,331741427,331741418,,
hyprproxlock,,,329320747,329320740
icesprog,,,329321023,329321022
iconpack-jade,329321113,329321110,,
id3,,,329321201,329321199
idrisPackages.eternal,,,329321334,329321333
idrisPackages.mhd,,,329321440,329321444
idrisPackages.pacman,,,329321449,329321464
imageworsener,329321769,329321765,329321770,329321764
imhex,,,331704033,
indilib,,,329322085,329322082
inspircd,,,331384059,331384057
intel-compute-runtime,331753984,,,
intelli-shell,,,331538393,331538391
intensity-normalization,329322377,329322385,329713905,329713906
inventree,,331753988,,
ioping,,,329322494,329322491
iosevka,,,329322528,
jarl,,,329323277,329323276
jaspr_cli,331548161,331548160,,
jasterix,,,331510589,331510585
jbofihe,,,329323472,329323470
jetuml,,,329323694,329323693
jj-pre-push,,,331627309,331627304
jpegli,,329324028,,
jsoncons,,,331670190,
jtdx,,,329324338,329324333
julia_110,,,,329324411
julia_111,,,,329324419
junkie,,,329324470,329324467
kagen,,,329324619,
kanagawa-icon-theme,,,329324850,329324846
kanban,,,331715168,331715167
kdePackages.mlt,,,331053258,331053257
kdePackages.qtwebengine,,,329326208,329326224
keeperrl,329326383,,,
kermit,329326420,329326419,,
kgt,,,329326544,329326543
kilo,331741456,331741455,,
kodiPackages.plex-for-kodi,,,329327062,329327063
koodo-reader,,,331536585,331536574
kore,,,329327321,329327319
kubectl-kcl,329327650,329327651,329327655,329327641
kuro,,,331536620,331536608
ladybugdb,,,331499773,331499772
lakectl,,,329328100,
lakefs,,,331666522,
landrun,,329328143,,
lanraragi,,,,331578691
lcdproc,,,329328386,
lcevcdec,,,331715172,331715173
lcm,,,329328395,329328392
lean,,,329328512,329328510
lean3,,,329328520,329328521
ledfx,,,331754020,331754021
leo-lang,,,329328731,329328729
lerna_6,,329328764,,
libcardiacarrest,,,329329207,329329204
libcork,,,329329346,329329344
libcue-lang,,,329329427,329329424
libcutl,,,,329329439
libdbusmenu-gtk2,,,329329492,329329493
libdjinterop,,,329329554,329329552
libe-book,,,331391783,331391788
liberal-crime-squad,,,329329674,329329690
libesmtp,,,329329719,329329716
libexecinfo,,,329329760,329329753
libfsm,,,329329888,329329885
libigloo,,,329330204,329330207
libinjection,,,329330247,329330243
libixion,,,329330326,329330329
libkiwix,,,329330392,329330393
liblastfm-vambrose,,,329330426,329330423
liblbfgs,,,,329330431
libldac-dec,,,329330442,329330440
libmspub,,,331627348,
libopensmtpd,,,329330978,329330974
libpisp,,,329331122,329331121
libpkgmanifest,,,329331132,329331126
libpulsar,,,,329331248
libsForQt5.libcommuni,,,329331732,329331726
libsForQt5.qoauth,,,329331807,329331804
libsForQt5.qtmpris,329332049,329332044,329332047,329332042
libspf2,,,329332400,329332396
libtapi,,329721086,,
libucontext,,329332648,,
libui-ng,,,329332674,329332675
libui,,,329332668,329332665
libuiohook,,,329332677,
libxc_7,,,329332954,
lilypond-unstable,,,331656830,
linbox,,329333478,,329333480
linuxKernel.packages.linux_5_10.acer-wmi-battery,,331683578,,
linuxKernel.packages.linux_5_10.ax99100,,331683604,,
linuxKernel.packages.linux_5_10.it87,331683633,,,
linuxKernel.packages.linux_5_10.mbp2018-bridge-drv,331683681,331683648,,
linuxKernel.packages.linux_5_10.nvidia_x11_beta_open,331683666,331683671,,
linuxKernel.packages.linux_5_10.nvidia_x11_vulkan_beta_open,331683692,331683693,,
linuxKernel.packages.linux_5_10.openrazer,331683686,331683689,,
linuxKernel.packages.linux_5_10.tbs,,331683749,,
linuxKernel.packages.linux_5_10.tsme-test,,331683755,,
linuxKernel.packages.linux_5_10.tuxedo-drivers,331683743,,,
linuxKernel.packages.linux_5_10.universal-pidff,331683770,331683747,,
linuxKernel.packages.linux_5_10.virtualboxGuestAdditions,,332388202,,
linuxKernel.packages.linux_5_10.xpadneo,331683798,331683771,,
linuxKernel.packages.linux_5_15.acer-wmi-battery,,331683777,,
linuxKernel.packages.linux_5_15.amneziawg,331683792,331683811,,
linuxKernel.packages.linux_5_15.ax99100,,331683819,,
linuxKernel.packages.linux_5_15.ena,331683818,331683817,,
linuxKernel.packages.linux_5_15.mbp2018-bridge-drv,331683917,331683876,,
linuxKernel.packages.linux_5_15.nvidia_x11_beta_open,331683896,331683877,,
linuxKernel.packages.linux_5_15.nvidia_x11_vulkan_beta_open,331683887,331683886,,
linuxKernel.packages.linux_5_15.openrazer,331683900,331683895,,
linuxKernel.packages.linux_5_15.tbs,,331683948,,
linuxKernel.packages.linux_5_15.tsme-test,,331683966,,
linuxKernel.packages.linux_5_15.universal-pidff,331683960,331684009,,
linuxKernel.packages.linux_5_15.xpadneo,331684035,331683993,,
linuxKernel.packages.linux_6_1.acer-wmi-battery,,331684010,,
linuxKernel.packages.linux_6_1.ax99100,,331684020,,
linuxKernel.packages.linux_6_1.ena,331684080,331684033,,
linuxKernel.packages.linux_6_1.lttng-modules,331684079,331684078,,
linuxKernel.packages.linux_6_1.mba6x_bl,331684081,331684095,,
linuxKernel.packages.linux_6_1.mbp2018-bridge-drv,331684137,331684082,,
linuxKernel.packages.linux_6_1.morse-driver,331684104,331684089,,
linuxKernel.packages.linux_6_1.openrazer,331684120,331684117,,
linuxKernel.packages.linux_6_1.tbs,,331684178,,
linuxKernel.packages.linux_6_1.tsme-test,,331684233,,
linuxKernel.packages.linux_6_1.universal-pidff,,331684179,,
linuxKernel.packages.linux_6_12.acer-wmi-battery,,331684224,,
linuxKernel.packages.linux_6_12.lttng-modules,331684305,331684310,,
linuxKernel.packages.linux_6_12.mbp2018-bridge-drv,331684298,331684297,,
linuxKernel.packages.linux_6_12.openrazer,331684331,331684330,,
linuxKernel.packages.linux_6_12.tbs,,331684382,,
linuxKernel.packages.linux_6_12.tsme-test,,331684388,,
linuxKernel.packages.linux_6_18.acer-wmi-battery,,331684444,,
linuxKernel.packages.linux_6_18.lttng-modules,331684552,331684519,,
linuxKernel.packages.linux_6_18.mbp2018-bridge-drv,331684557,331684531,,
linuxKernel.packages.linux_6_18.msi-ec,,331684544,,
linuxKernel.packages.linux_6_18.tsme-test,,331684588,,
linuxKernel.packages.linux_6_18.vmm_clock,331684623,,,
linuxKernel.packages.linux_6_6.acer-wmi-battery,,331684640,,
linuxKernel.packages.linux_6_6.ax99100,,331684674,,
linuxKernel.packages.linux_6_6.lttng-modules,331684725,331684734,,
linuxKernel.packages.linux_6_6.mba6x_bl,331684727,331684717,,
linuxKernel.packages.linux_6_6.mbp2018-bridge-drv,331684720,331684719,,
linuxKernel.packages.linux_6_6.openrazer,331684755,331684762,,
linuxKernel.packages.linux_6_6.tbs,331684828,331684806,,
linuxKernel.packages.linux_6_6.tsme-test,,331684817,,
linuxKernel.packages.linux_6_6.universal-pidff,,331684852,,
linuxKernel.packages.linux_7_0.acer-wmi-battery,,331684863,,
linuxKernel.packages.linux_7_0.drbd,331684901,331684910,,
linuxKernel.packages.linux_7_0.lkrg,331684936,331684935,,
linuxKernel.packages.linux_7_0.lttng-modules,331684938,331684951,,
linuxKernel.packages.linux_7_0.mbp2018-bridge-drv,331684967,331684958,,
linuxKernel.packages.linux_7_0.msi-ec,,331684961,,
linuxKernel.packages.linux_7_0.tsme-test,331685014,331685013,,
linuxKernel.packages.linux_7_0.vmm_clock,331685037,,,
linuxKernel.packages.linux_7_1.acer-wmi-battery,,331685064,,
linuxKernel.packages.linux_7_1.amneziawg,331685088,331685086,,
linuxKernel.packages.linux_7_1.corefreq,331685095,331685131,,
linuxKernel.packages.linux_7_1.drbd,331685091,331685104,,
linuxKernel.packages.linux_7_1.gasket,331685111,331685135,,
linuxKernel.packages.linux_7_1.lkrg,331685138,331685134,,
linuxKernel.packages.linux_7_1.lttng-modules,331685163,331685147,,
linuxKernel.packages.linux_7_1.mbp2018-bridge-drv,331685166,331685139,,
linuxKernel.packages.linux_7_1.msi-ec,,331685168,,
linuxKernel.packages.linux_7_1.nvidia_x11_beta_open,331685156,331685175,,
linuxKernel.packages.linux_7_1.nxp-pn5xx,331685201,331685204,,
linuxKernel.packages.linux_7_1.openafs,331685179,331685177,,
linuxKernel.packages.linux_7_1.openafs_1_8,331685180,331685178,,
linuxKernel.packages.linux_7_1.rtl8189es,331685185,331685216,,
linuxKernel.packages.linux_7_1.rtl8189fs,331685189,331685186,,
linuxKernel.packages.linux_7_1.rtl8821ce,331685228,,,
linuxKernel.packages.linux_7_1.rtl8821cu,331685235,331685209,,
linuxKernel.packages.linux_7_1.rtl88x2bu,331685213,331685191,,
